title,logoPath,logoPathV3,jobId,jobType,currency,footerPlaceholderLabel,footerPlaceholderColor,companyName,isSaved,companyId,jdURL,jobDescription,showMultipleApply,groupId,isTopGroup,createdDate,mode,board,companyApplyJob,walkinJob,saved,experience,salary,location,companyJobsUrl,ambitionBoxData,internshipTags,vacancy,hiringFor,consultant,hideClientName,clientLogo,extracted_skills
Intern,https://img.naukimg.com/logo_images/groups/v1/4808609.gif,https://img.naukimg.com/logo_images/groups/v1/4808609.gif,290426505422,internship,INR,Starts in 1-3 months,green,Jones Lang LaSalle (JLL),False,2933106,https://www.naukri.com/job-listings-intern-jones-lang-lasalle-bengaluru-0-to-2-years-290426505422,Required Skills and Experience :  . Bachelors / Master s degree . Ready to do field visit . .,False,4808609,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Bengaluru,https://www.naukri.com/jones-lang-lasalle-jll-jobs-careers-117358,"{'Url': 'https://www.ambitionbox.com/reviews/jll-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 6393, 'AggregateRating': '4.1', 'Title': 'JLL Reviews by Employees'}",,,,,,,[]
Intern,https://img.naukimg.com/logo_images/groups/v1/4808609.gif,https://img.naukimg.com/logo_images/groups/v1/4808609.gif,280426501885,internship,INR,Starts in 1-3 months,green,Jones Lang LaSalle (JLL),False,2933106,https://www.naukri.com/job-listings-intern-jones-lang-lasalle-mumbai-0-to-2-years-280426501885,Required Skills and Experience :  . Bachelors / Master s degree . Ready to do field visit . .,False,4808609,0,1970-01-01 00:00:00,crawled,1,True,False,False,,"15,000/month",Mumbai,https://www.naukri.com/jones-lang-lasalle-jll-jobs-careers-117358,"{'Url': 'https://www.ambitionbox.com/reviews/jll-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 6393, 'AggregateRating': '4.1', 'Title': 'JLL Reviews by Employees'}",,,,,,,[]
Intern - OM & CS,https://img.naukimg.com/logo_images/groups/v1/4656449.gif,https://img.naukimg.com/logo_images/groups/v1/4656449.gif,280426501869,internship,INR,Starts in 1-3 months,green,Mann+Hummel,False,3220396,https://www.naukri.com/job-listings-intern-om-cs-mann-hummel-bengaluru-1-to-2-years-280426501869,"Flexibility in handling changing business needs and shifts . Strong analytical,problem-solving,and decision-making skills . High attention to detail and accuracy . <br><br>Willingness to work in flexible shifts (including night shifts / 24x5 model) . <br><br>Bachelor s degree in Business Administration,Commerce,or related field . <br><br>Experience . .",False,4656449,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Bengaluru,https://www.naukri.com/mann-and-hummel-filter-jobs-careers-92333,"{'Url': 'https://www.ambitionbox.com/reviews/mann-and-hummel-filter-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 423, 'AggregateRating': '3.9', 'Title': 'Mann And Hummel Filter Reviews by Employees'}",,,,,,,[]
Business Analyst - Access Management,https://img.naukimg.com/logo_images/groups/v1/240936.gif,https://img.naukimg.com/logo_images/groups/v1/240936.gif,270426502486,internship,INR,Starts in 1-3 months,green,JPMorgan Chase Bank,False,125400704,https://www.naukri.com/job-listings-business-analyst-access-management-jp-morgan-and-chase-mumbai-11-to-16-years-270426502486,"Required qualifications,capabilities,and skills . Hands-on experience (academic,internship,or professional) with Alteryx for data preparation,blending,and workflow development<br><br>Experience with data quality checks,monitoring,and workflow optimization . Ability to use AI-assisted tools to accelerate analysis,documentation,and solution development (within approved firm standards)",False,240936,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Mumbai,https://www.naukri.com/jpmorgan-chase-bank-jobs-careers-183700,"{'Url': 'https://www.ambitionbox.com/reviews/jpmorgan-chase-and-co-dot-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 7829, 'AggregateRating': '3.8', 'Title': 'JPMorgan Chase & Co. Reviews by Employees'}",,,,,,,[]
Software development Professional,https://img.naukimg.com/logo_images/groups/v1/9181799.gif,https://img.naukimg.com/logo_images/groups/v1/9181799.gif,250925507406,internship,INR,Starts in 1-3 months,green,Highered Bpo,False,125122007,https://www.naukri.com/job-listings-software-development-professional-highered-bpo-bengaluru-1-to-5-years-250925507406," . Ability to commit to a 4-5 month internship. <br><br>Requirements:  . Pursuing or recently completed a Bachelors / Masters degree in Computer Science,IT,or a related field",False,9181799,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Bengaluru,https://www.naukri.com/highered-bpo-jobs-careers-123952721,"{'Url': 'https://www.ambitionbox.com/reviews/highered-bpo-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 10, 'AggregateRating': '3.9', 'Title': 'HigherEd BPO Reviews by Employees'}",,,,,,,[]
Business Analyst Intern,https://img.naukimg.com/logo_images/groups/v1/9476471.gif,https://img.naukimg.com/logo_images/groups/v1/9476471.gif,301225508074,internship,INR,Starts in 1-3 months,green,Cloud Counselage,False,124334978,https://www.naukri.com/job-listings-business-analyst-intern-cloud-counselage-pvt-ltd-mumbai-0-to-1-years-301225508074,"<div> </div> <div> <strong> </strong> <span> Looking for Interns, with an interest in Business Analysis, who can collect and analyze data, identify trends and areas for improvement, and propose solutions to business problems.  </span> </div> <div> </div> <div> <strong> RESPONSIBILITIES: </strong> </div> <div> </div> <ul> <li> Compliance with company policies </li> <li> Complete task assigned before the deadline </li> <li> Follow the instructions provided by Supervisor </li> </ul> <div> </div> <div> <strong> BENEFITS: </strong> </div> <div> </div> <ul> <li> Experience Certificate/Letter from Cloud Counselage Pvt. Ltd. on successful completion of the internship </li> <li> Industry Best Practices Training </li> <li> Exposure to different Software & Applications </li> <li> Work from Home & Flexible working hours </li> <li> Interns get an 'IAC Associate' designation with Cloud Counselage Pvt. Ltd. to get continuous Industry Exposure & Experience till their graduation. This designation can be showcased in their CVs </li> <li> Opportunity to become Internship lead for the future internship program </li> <li> Opportunity for permanent employment after graduation </li> </ul> <div> </div> <div> <br /> </div> <div> <strong> REQUIREMENTS: </strong> </div> <div> * Flexi-time, no pressure 1.5/2/3 months commitment (min. 1.5/2/3 hrs daily on flexi-time basis) </div> <div> * Student of Diploma/Graduate/Post Graduate (Technical/Management) courses  </div> <div> * Knowledge of various business processes and systems, as well as technical skills in areas such as data analysis and project management </div> <div> * Work independently with minimum supervision </div> <div> * Domain knowledge of the field chosen for the internship </div> <div> <strong> <br /> </strong> </div> <div> <strong> </strong> </div>",False,9476471,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Mumbai,https://www.naukri.com/cloud-counselage-jobs-careers-124334978,"{'Url': 'https://www.ambitionbox.com/reviews/cloud-counselage-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 32, 'AggregateRating': '4.4', 'Title': 'Cloud Counselage Reviews by Employees'}",,,,,,,['data analysis']
Business Analyst Intern,https://img.naukimg.com/logo_images/groups/v1/5851064.gif,https://img.naukimg.com/logo_images/groups/v1/5851064.gif,180825504088,internship,INR,Starts in 1-3 months,green,360DigiTMG,False,124466790,https://www.naukri.com/job-listings-business-analyst-intern-360digitmg-hyderabad-0-to-1-years-180825504088,"Currently holding a bachelors or pursuing a bachelor s in business administration or a related field. Certifications on business analysis will be a plus. Strong analytical and problem-solving skills. Proficient in MS Office,especially Excel and PowerPoint. Good understanding on business processes,methods and skills",False,5851064,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Hyderabad,https://www.naukri.com/360digitmg-jobs-careers-123889815,"{'Url': 'https://www.ambitionbox.com/reviews/360digitmg-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 100, 'AggregateRating': '3.8', 'Title': '360DigiTMG Reviews by Employees'}",,,,,,,['excel']
Intern - Business Data Analyst,https://img.naukimg.com/logo_images/groups/v1/6067531.gif,https://img.naukimg.com/logo_images/groups/v1/6067531.gif,151025501755,internship,INR,Starts in 1-3 months,green,Jodo,False,5613554,https://www.naukri.com/job-listings-intern-business-data-analyst-jodopay-com-bengaluru-0-to-1-years-151025501755,"Were seeking a highly motivated and analytical Business Analyst Intern to join our team<br><br> . Proficient in SQL,Excel,any visualization tool(Quick Sight,Tableau,Power BI etc) and data analysis tools",False,6067531,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Bengaluru,https://www.naukri.com/jodo-jobs-careers-5613554,"{'Url': 'https://www.ambitionbox.com/reviews/jodo-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 145, 'AggregateRating': '3.7', 'Title': 'Jodo Reviews by Employees'}",,,,,,,"['sql', 'excel', 'power bi', 'tableau', 'data analysis']"
Intern Operations Executive Founders Office,https://img.naukimg.com/logo_images/groups/v1/3851110.gif,https://img.naukimg.com/logo_images/groups/v1/3851110.gif,140125511134,internship,INR,Starts in 1-3 months,green,The Reform Design,False,4713938,https://www.naukri.com/job-listings-intern-operations-executive-founders-office-the-reform-design-hyderabad-0-to-1-years-140125511134,"This is an Internship role for a Founder s office Operations Executive located in Hyderabad<br><br>Bachelor s degree with strong computation skills on EXCEL,Powerpoints,SAAS tools . <br><br>Experience in Administrative coordination & Operations Management . Ability to effectively communicate with different stakeholders (English,Telugu & Hindi Speaking) .",False,3851110,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Hyderabad,https://www.naukri.com/the-reform-design-jobs-careers-4713938,"{'Url': 'https://www.ambitionbox.com/reviews/trd-studios-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri', 'ReviewsCount': 38, 'AggregateRating': '4.6', 'Title': 'TRD Studios Reviews by Employees'}",,,,,,,['excel']
Strategy Internship,https://img.naukimg.com/logo_images/groups/v1/470172.gif,https://img.naukimg.com/logo_images/groups/v1/470172.gif,121125503974,internship,INR,Starts in 1-3 months,green,Sakthi Cadd,False,123911111,https://www.naukri.com/job-listings-strategy-internship-sakthicadd-bengaluru-0-to-1-years-121125503974,Sakthicadd is looking for Strategy Internship to join our dynamic team and embark on a rewarding career journey . <br><br>Disclaimer: This job description has been sourced from a public domain and may have been modified by Naukri.com to improve clarity for our users,False,470172,0,1970-01-01 00:00:00,crawled,1,True,False,False,,Unpaid,Bengaluru,https://www.naukri.com/sakthi-cadd-jobs-careers-123911111,,,,,,,,[]
